,alpha,gamma,p_short,p_long,p_weird,p_short2,p_long2
9573,0.04040404040404033,3.686868686868687,0.5508957384960993,0.4485233586857744,0.0,0.5508957384960993,0.4485233586857744
9574,0.04040404040404033,3.7373737373737375,0.5521032005292095,0.44736701145006913,0.0,0.5521032005292095,0.44736701145006913
9575,0.04040404040404033,3.7878787878787876,0.5533135301699011,0.44620329893512817,0.0,0.5533135301699011,0.44620329893512817
9576,0.04040404040404033,3.8383838383838382,0.5545268650049499,0.44503247919093225,0.0,0.5545268650049499,0.4450324791909323
9577,0.04040404040404033,3.888888888888889,0.5557433305464647,0.4438547875718343,0.0,0.5557433305464647,0.4438547875718343
9578,0.04040404040404033,3.9393939393939394,0.5569630414525171,0.4426704385650888,0.0,0.5569630414525171,0.4426704385650888
9579,0.04040404040404033,3.9898989898989896,0.558186102629111,0.44147962747191216,0.0,0.5581861026291108,0.4414796274719122
9580,0.04040404040404033,4.040404040404041,0.559412610224676,0.4402825319528849,0.0,0.559412610224676,0.4402825319528849
9581,0.04040404040404033,4.090909090909091,0.5606426525272966,0.4390793134485312,0.0,0.5606426525272965,0.43907931344853135
9582,0.04040404040404033,4.141414141414141,0.5618763107739368,0.4378701184850781,0.0,0.5618763107739368,0.4378701184850781
9583,0.04040404040404033,4.191919191919192,0.5631136598800629,0.43665507987461566,0.0,0.563113659880063,0.4366550798746157
9584,0.04040404040404033,4.242424242424242,0.5643547690973102,0.4354343178181203,0.0,0.5643547690973103,0.43543431781812036
9585,0.04040404040404033,4.292929292929293,0.5655997026061159,0.4342079409191532,0.0,0.5655997026061159,0.4342079409191532
9586,0.04040404040404033,4.343434343434343,0.5668485200495877,0.4329760471154258,0.0,0.5668485200495877,0.4329760471154258
9587,0.04040404040404033,4.393939393939394,0.5681012770143193,0.4317387245348234,0.0,0.5681012770143193,0.4317387245348234
9588,0.04040404040404033,4.444444444444445,0.5693580254632835,0.4304960522819924,0.0,0.5693580254632835,0.4304960522819924
9589,0.04040404040404033,4.494949494949495,0.5706188141254936,0.429248101161068,0.0,0.5706188141254936,0.42924810116106793
9590,0.04040404040404033,4.545454545454545,0.571883688846638,0.4279949343397101,0.0,0.571883688846638,0.4279949343397101
9591,0.04040404040404033,4.595959595959596,0.5731526929045351,0.4267366079591587,0.0,0.5731526929045352,0.42673660795915863
